R10,55.56,23.41,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,124.35,46.93,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,154.33,7.47,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,91.91,59.29,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,121.82,36.34,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,69.34,12.91,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,151.90,45.43,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,151.87,46.88,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,127.09,44.53,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,91.01,50.00,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,155.45,7.49,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,66.52,15.43,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,70.20,16.75,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,35.02,31.31,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,10.44,100.30,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,51.16,23.41,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,46.98,23.21,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,73.90,27.11,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,64.00,108.85,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,52.37,108.69,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,85.62,60.94,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,27.28,108.73,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,75.58,27.23,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,67.27,108.75,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,155.55,12.32,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,66.26,12.79,0.00,,SJ
TP1,83.31,101.09,0.00,TPTP20R,TP20R
TP10,114.87,12.30,0.00,TPTP20R,TP20R
TP11,117.59,12.29,0.00,TPTP20R,TP20R
TP12,121.08,12.31,0.00,TPTP20R,TP20R
TP13,125.18,12.34,0.00,TPTP20R,TP20R
TP14,149.59,62.19,0.00,TPTP20R,TP20R
TP15,149.54,59.49,0.00,TPTP20R,TP20R
TP16,26.99,16.39,0.00,TPTP20R,TP20R
TP17,32.94,16.29,0.00,TPTP20R,TP20R
TP2,77.13,101.29,0.00,TPTP20R,TP20R
TP3,71.65,101.39,0.00,TPTP20R,TP20R
TP4,167.47,36.19,0.00,TPTP20R,TP20R
TP5,167.59,32.69,0.00,TPTP20R,TP20R
TP6,168.01,29.59,0.00,TPTP20R,TP20R
TP7,14.03,67.19,0.00,TPTP20R,TP20R
TP8,14.05,61.99,0.00,TPTP20R,TP20R
TP9,13.77,57.99,0.00,TPTP20R,TP20R
U1,41.19,39.56,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,38.01,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,82.30,54.35,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,138.17,49.12,0.00,MAX17048G+T10,SON50P200X200X80-9N
